Q O L C C A A A A W .	C17_1 B17_1 A17_1 C15_1 B15_2 A15_2 A12_1 C12_2 B12_1 C3_1 A3_1 B3_2 B3_2 C3_2 A3_2 C1_2 A1_1 B1_1 A1_1 B1_1 C1_1 A1_1 C1_1 B1_2 A1_1 C1_2 B1_1 C22_2 B22_2 A22_2	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10
K K K K K K IS Y MS .	B11_1 A11_1 C11_2 C11_1 B11_2 A11_1 C11_1 B11_2 A11_1 A11_1 B11_1 C11_2 A11_2 C11_1 B11_1 C11_2 B11_2 A11_2 C34_1 A34_2 B34_1 A24_2 C24_2 B24_2 C38_2 B38_1 A38_2	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9
J J J J J X R R KS .	B10_1 C10_2 A10_2 A10_2 B10_1 C10_2 A10_2 B10_1 C10_2 C10_1 A10_1 B10_1 B10_1 C10_1 A10_2 C23_1 B23_1 A23_1 C18_1 B18_2 A18_1 C18_1 B18_2 A18_1 B36_2 A36_2 C36_1	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9
IS FS FS FS FS GS J J J .	C34_2 A34_1 B34_1 C31_1 B31_2 A31_1 C31_2 A31_1 B31_2 C31_1 B31_2 A31_1 A31_2 C31_1 B31_1 C32_2 B32_2 A32_1 A10_2 C10_2 B10_2 B10_1 A10_2 C10_1 B10_1 A10_1 C10_1	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9
H H H H H H I W MS .	C8_2 B8_2 A8_2 B8_1 C8_2 A8_1 B8_2 C8_1 A8_1 A8_1 C8_1 B8_2 B8_2 C8_2 A8_1 A8_2 B8_2 C8_1 B9_1 A9_2 C9_1 C22_1 B22_2 A22_1 C38_2 B38_1 A38_1	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9
U KS KS KS KS KS A A A .	C20_1 B20_2 A20_2 C36_1 B36_1 A36_1 C36_2 B36_2 A36_1 B36_1 A36_2 C36_2 C36_2 B36_1 A36_1 B36_1 C36_2 A36_1 C1_1 A1_1 B1_1 A1_1 C1_1 B1_1 A1_1 C1_2 B1_2	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9
ES W W W W G D D D .	B30_2 A30_2 C30_2 B22_1 A22_1 C22_2 C22_2 A22_2 B22_1 B22_2 C22_2 A22_2 C22_2 B22_1 A22_2 A7_1 C7_2 B7_1 C4_2 B4_1 A4_2 C4_1 A4_2 B4_1 C4_1 A4_2 B4_2	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9
C E E E E E E FS .	A3_1 B3_2 C3_2 A5_1 B5_2 C5_1 C5_2 B5_2 A5_1 A5_2 C5_2 B5_2 B5_2 A5_2 C5_1 A5_2 B5_1 C5_2 B5_2 A5_1 C5_1 C31_2 A31_2 B31_2	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8
ES A A A A GS GS GS .	C30_2 A30_2 B30_2 C1_2 B1_1 A1_2 A1_2 C1_1 B1_2 C1_1 A1_1 B1_2 C1_1 A1_1 B1_2 A32_2 C32_1 B32_2 B32_1 C32_1 A32_2 C32_1 A32_1 B32_2	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8
AS ES E E E E E Q Q Q .	A26_1 C26_1 B26_2 B30_1 A30_2 C30_2 C5_2 B5_1 A5_1 C5_2 A5_2 B5_2 A5_1 B5_2 C5_2 C5_1 B5_1 A5_2 A5_2 C5_2 B5_1 B17_2 A17_1 C17_2 B17_1 A17_1 C17_1 A17_1 B17_2 C17_1	0 0 0 1 1 1 2 2 2 3 3 3 4 4 4 5 5 5 6 6 6 7 7 7 8 8 8 9 9 9 10
