001 t3 t5 t8 t5 t8 t3 t4	001 101 010 110 011 000 111 011
101 t3 t5 t8 t5 t8 t3 t4	101 000 001 100 101 011 100 111
111 t3 t5 t8 t5 t8 t3 t4	111 110 011 000 001 100 011 101
011 t3 t5 t8 t5 t8 t3 t4	011 100 101 011 100 001 101 001
100 t8 t2 t8 t5 t2 t7 t5	100 001 001 100 101 011 100 101
111 t8 t2 t8 t5 t2 t7 t5	111 111 100 001 000 101 111 111
000 t8 t2 t8 t5 t2 t7 t5	000 010 010 110 011 111 010 110
110 t8 t2 t8 t5 t2 t7 t5	110 101 011 000 001 001 110 011
010 t7 t2 t5 t3 t5 t2 t8	010 000 101 010 010 110 000 010
000 t7 t2 t5 t3 t5 t2 t8	000 011 111 111 110 011 111 111
101 t7 t2 t5 t3 t5 t2 t8	101 111 100 101 000 001 001 100
110 t7 t2 t5 t3 t5 t2 t8	110 101 011 100 011 100 110 101
101 t8 t1 t5 t5 t3 t3 t4	101 011 010 110 011 100 011 101
111 t8 t1 t5 t5 t3 t3 t4	111 111 100 101 010 010 010 010
001 t8 t1 t5 t5 t3 t3 t4	001 100 011 100 101 000 111 011
011 t8 t1 t5 t5 t3 t3 t4	011 000 110 011 100 011 100 111
010 t8 t6 t8 t3 t6 t1 t4	010 110 001 100 011 111 100 111
111 t8 t6 t8 t3 t6 t1 t4	111 111 100 001 101 000 110 110
000 t8 t6 t8 t3 t6 t1 t4	000 010 101 011 100 110 111 011
001 t8 t6 t8 t3 t6 t1 t4	001 100 110 101 000 011 010 010
000 t3 t6 t4 t5 t3 t2 t2	000 111 100 111 111 110 000 101
110 t3 t6 t4 t5 t3 t2 t2	110 001 010 010 110 001 001 001
101 t3 t6 t4 t5 t3 t2 t2	101 000 011 101 010 010 010 010
011 t3 t6 t4 t5 t3 t2 t2	011 100 110 110 011 100 110 000
001 t5 t5 t6 t1 t4 t8 t2	001 000 001 010 101 001 100 110
111 t5 t5 t6 t1 t4 t8 t2	111 111 111 100 011 101 011 111
100 t5 t5 t6 t1 t4 t8 t2	100 101 010 101 000 000 010 010
110 t5 t5 t6 t1 t4 t8 t2	110 011 100 110 111 011 000 101
