000 t4 t5 .	000 000 001	0 1 2 3
100 t5 t4 .	100 101 001	0 1 2 3
000 t2 t4 .	000 101 001	0 1 2 3
001 t1 t2 .	001 001 001	0 1 2 3
001 t3 t4 .	001 101 001	0 1 2 3
100 t1 t3 .	100 011 100	0 1 2 3
001 t1 t4 .	001 001 100	0 1 2 3
110 t5 t5 .	110 011 100	0 1 2 3
111 t5 t1 .	111 111 100	0 1 2 3
011 t6 t1 .	011 111 100	0 1 2 3
111 t4 t1 .	111 011 010	0 1 2 3
000 t2 t5 .	000 101 010	0 1 2 3
010 t4 t4 .	010 010 010	0 1 2 3
010 t4 t3 .	010 010 010	0 1 2 3
010 t2 t3 .	010 010 010	0 1 2 3
101 t2 t6 .	101 011 111	0 1 2 3
111 t5 t5 .	111 111 111	0 1 2 3
011 t6 t5 .	011 111 111	0 1 2 3
000 t1 t1 .	000 110 111	0 1 2 3
000 t6 t6 .	000 011 111	0 1 2 3
101 t3 t6 .	101 000 011	0 1 2 3
000 t1 t5 .	000 110 011	0 1 2 3
111 t2 t1 .	111 100 011	0 1 2 3
111 t1 t1 .	111 100 011	0 1 2 3
000 t3 t4 .	000 111 011	0 1 2 3
001 t2 t3 .	001 001 101	0 1 2 3
001 t4 t5 .	001 100 101	0 1 2 3
001 t5 t2 .	001 000 101	0 1 2 3
100 t1 t4 .	100 011 101	0 1 2 3
001 t6 t1 .	001 010 101	0 1 2 3
111 t6 t6 .	111 100 110	0 1 2 3
010 t2 t5 .	010 010 110	0 1 2 3
001 t4 t2 .	001 100 110	0 1 2 3
110 t2 t1 .	110 000 110	0 1 2 3
100 t4 t3 .	100 111 110	0 1 2 3
010 t1 t3 .	010 101 000	0 1 2 3
010 t5 t2 .	010 110 000	0 1 2 3
110 t6 t5 .	110 001 000	0 1 2 3
000 t2 t6 .	000 101 000	0 1 2 3
011 t4 t6 .	011 101 000	0 1 2 3
